2404,2663,2451,2662,2460,3039,2413,3040
229,3035,375,3032,376,3086,230,3089
167,1545,211,1546,205,1912,161,1912
1994,254,2120,253,2120,301,1994,302
410,2969,486,2972,484,3026,408,3023
1606,3122,1696,3122,1696,3241,1606,3241
1315,2164,1362,2163,1369,2453,1322,2454
2130,2033,2196,2034,2195,2068,2129,2066
545,1464,605,1463,606,1503,545,1504
1192,668,1258,670,1243,1136,1177,1133
1940,458,1974,460,1962,635,1929,633
1592,539,1626,538,1632,767,1597,768
2328,1759,2383,1757,2393,2003,2338,2005
292,2097,372,2097,373,2141,292,2141
2732,859,2794,857,2796,891,2734,894
442,2015,529,2014,530,2075,443,2076
2142,253,2212,250,2214,292,2143,295
2222,2303,2260,2301,2266,2484,2228,2485
570,283,704,274,708,324,574,333
1679,1583,1716,1583,1718,1764,1681,1764
1048,2289,1089,2288,1095,2498,1054,2499
1107,2284,1153,2284,1154,2532,1109,2532
2079,2096,2121,2097,2115,2291,2074,2290
2473,534,2522,536,2515,721,2466,719
1404,2274,1449,2273,1458,2557,1413,2558
787,1034,830,1034,832,1214,789,1215
1989,2884,2023,2885,2021,3091,1987,3090
2416,2998,2463,2998,2461,3183,2414,3182
617,1101,666,1098,683,1337,634,1340
2669,2296,2711,2294,2716,2466,2674,2468
1271,2701,1319,2699,1321,2756,1274,2758
1234,718,1290,718,1293,1039,1236,1039
528,553,562,551,578,802,544,804
1317,557,1353,556,1361,764,1325,765
2133,1401,2174,1402,2169,1601,2129,1600
274,1469,318,1468,324,1660,279,1661
1941,1817,1974,1816,1978,1973,1944,1974
1657,548,1700,547,1701,654,1659,655
2415,2313,2462,2314,2455,2537,2408,2536
1015,708,1059,704,1077,923,1034,927
1166,2268,1208,2269,1204,2471,1162,2470
1203,1417,1254,1418,1253,1513,1202,1512
257,1645,293,1642,306,1777,271,1780
2524,2103,2563,2104,2561,2284,2521,2283
571,989,621,986,638,1232,589,1235
997,1504,1042,1503,1046,1666,1002,1668
83,554,121,556,111,722,74,720
996,1606,1037,1607,1033,1745,992,1744
629,2592,684,2591,684,2631,630,2632
1564,760,1630,766,1575,1343,1510,1337
1847,1841,1920,1832,1934,1939,1861,1949
261,1727,292,1727,296,1841,264,1841
1472,2445,1518,2452,1463,2799,1417,2792
1147,2800,1217,2800,1217,2877,1147,2877
